PDB_ID,Identity,Evalue,Method,Resolution,Source,,
1UK5,98.438,5.38e-40,NMR,NA,Mus musculus,,
1M62,61.538,2.18e-20,NMR,NA,Homo sapiens,,
1M7K,62.5,4.35e-20,NMR,NA,Homo sapiens,,
,,,,,,,
,,,,,,,
